機器ID,評価年,リスクシナリオ,評価タイミング,緩和策,信頼性ランク（5段階）,影響度ランク（5段階）,リスクスコア（再計算）,リスクレベル（5段階）,リスク許容性
TK-107,2024-01-01,腐食,実施前,防食コーティング,低い,中程度,6,低い,許容
TK-107,2024-01-01,漏洩,実施前,シール材交換,中程度,中程度,9,低い,許容
TK-107,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
TK-108,2024-01-01,腐食,実施前,防食コーティング,低い,中程度,6,低い,許容
TK-108,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
TK-108,2024-01-01,破損,実施前,応力緩和対策,低い,小さい,4,非常に低い,許容
TK-109,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
TK-109,2024-01-01,漏洩,実施前,シール材交換,中程度,中程度,9,低い,許容
TK-109,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
HX-100,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
HX-100,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
HX-100,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
HX-101,2024-01-01,腐食,実施前,防食コーティング,非常に高い,大きい,20,非常に高い,非許容
HX-101,2024-01-01,腐食,実施後,防食コーティング,中程度,大きい,12,中程度,許容
HX-101,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
HX-101,2024-01-01,破損,実施前,応力緩和対策,低い,中程度,6,低い,許容
HX-102,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
HX-102,2024-01-01,漏洩,実施前,シール材交換,低い,中程度,6,低い,許容
HX-102,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
HX-103,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
HX-103,2024-01-01,漏洩,実施前,シール材交換,低い,中程度,6,低い,許容
HX-103,2024-01-01,破損,実施前,応力緩和対策,低い,小さい,4,非常に低い,許容
HX-104,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
HX-104,2024-01-01,漏洩,実施前,シール材交換,高い,大きい,16,高い,非許容
HX-104,2024-01-01,漏洩,実施後,シール材交換,低い,大きい,8,低い,許容
HX-104,2024-01-01,破損,実施前,応力緩和対策,高い,大きい,16,高い,非許容
HX-104,2024-01-01,破損,実施後,応力緩和対策,低い,大きい,8,低い,許容
HX-105,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
HX-105,2024-01-01,漏洩,実施前,シール材交換,高い,大きい,16,高い,非許容
HX-105,2024-01-01,漏洩,実施後,シール材交換,低い,大きい,8,低い,許容
HX-105,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
HX-106,2024-01-01,腐食,実施前,防食コーティング,高い,非常に大きい,20,非常に高い,非許容
HX-106,2024-01-01,腐食,実施後,防食コーティング,非常に低い,非常に大きい,5,低い,許容
HX-106,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
HX-106,2024-01-01,破損,実施前,応力緩和対策,高い,大きい,16,高い,非許容
HX-106,2024-01-01,破損,実施後,応力緩和対策,低い,大きい,8,低い,許容
HX-107,2024-01-01,腐食,実施前,防食コーティング,中程度,小さい,6,低い,許容
HX-107,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
HX-107,2024-01-01,破損,実施前,応力緩和対策,低い,中程度,6,低い,許容
HX-108,2024-01-01,腐食,実施前,防食コーティング,非常に高い,大きい,20,非常に高い,非許容
HX-108,2024-01-01,腐食,実施後,防食コーティング,非常に低い,大きい,4,非常に低い,許容
HX-108,2024-01-01,漏洩,実施前,シール材交換,非常に高い,大きい,20,非常に高い,非許容
HX-108,2024-01-01,漏洩,実施後,シール材交換,非常に低い,大きい,4,非常に低い,許容
HX-108,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
HX-109,2024-01-01,腐食,実施前,防食コーティング,非常に高い,非常に大きい,25,非常に高い,非許容
HX-109,2024-01-01,腐食,実施後,防食コーティング,非常に低い,非常に大きい,5,低い,許容
HX-109,2024-01-01,漏洩,実施前,シール材交換,高い,非常に大きい,20,非常に高い,非許容
HX-109,2024-01-01,漏洩,実施後,シール材交換,中程度,非常に大きい,15,中程度,許容
HX-109,2024-01-01,破損,実施前,応力緩和対策,低い,小さい,4,非常に低い,許容
PU-100,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
PU-100,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
PU-100,2024-01-01,破損,実施前,応力緩和対策,低い,小さい,4,非常に低い,許容
PU-101,2024-01-01,腐食,実施前,防食コーティング,中程度,小さい,6,低い,許容
PU-101,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
PU-101,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
PU-102,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
PU-102,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
PU-102,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
PU-103,2024-01-01,腐食,実施前,防食コーティング,中程度,小さい,6,低い,許容
PU-103,2024-01-01,漏洩,実施前,シール材交換,低い,中程度,6,低い,許容
PU-103,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
PU-104,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
PU-104,2024-01-01,漏洩,実施前,シール材交換,非常に高い,非常に大きい,25,非常に高い,非許容
PU-104,2024-01-01,漏洩,実施後,シール材交換,非常に低い,非常に大きい,5,低い,許容
PU-104,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
PU-105,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
PU-105,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
PU-105,2024-01-01,破損,実施前,応力緩和対策,中程度,小さい,6,低い,許容
PU-106,2024-01-01,腐食,実施前,防食コーティング,中程度,小さい,6,低い,許容
PU-106,2024-01-01,漏洩,実施前,シール材交換,低い,小さい,4,非常に低い,許容
PU-106,2024-01-01,破損,実施前,応力緩和対策,低い,中程度,6,低い,許容
PU-107,2024-01-01,腐食,実施前,防食コーティング,低い,小さい,4,非常に低い,許容
PU-107,2024-01-01,漏洩,実施前,シール材交換,高い,非常に大きい,20,非常に高い,非許容
PU-107,2024-01-01,漏洩,実施後,シール材交換,低い,非常に大きい,10,中程度,許容
PU-107,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
PU-108,2024-01-01,腐食,実施前,防食コーティング,低い,中程度,6,低い,許容
PU-108,2024-01-01,漏洩,実施前,シール材交換,中程度,小さい,6,低い,許容
PU-108,2024-01-01,破損,実施前,応力緩和対策,低い,中程度,6,低い,許容
PU-109,2024-01-01,腐食,実施前,防食コーティング,中程度,中程度,9,低い,許容
PU-109,2024-01-01,漏洩,実施前,シール材交換,中程度,中程度,9,低い,許容
PU-109,2024-01-01,破損,実施前,応力緩和対策,中程度,中程度,9,低い,許容
